"","Category","Season","d15N","d13C"
"109","A_subpinnata","autumn",5.4,-20.6
"110","A_subpinnata","autumn",6.1,-21.3
"111","A_subpinnata","autumn",5.9,-21.1
"112","A_subpinnata","autumn",6.1,-21.7
"113","A_subpinnata","autumn",6.5,-21.4
"114","A_subpinnata","autumn",5.9,-21.7
"115","A_subpinnata","autumn",5.8,-21.1
"116","A_subpinnata","autumn",6.4,-21.3
"117","A_subpinnata","autumn",6.2,-21.3
"118","A_subpinnata","autumn",5.7,-21.8
"119","A_subpinnata","autumn",6.1,-21.8
"120","A_subpinnata","autumn",6.3,-21
"121","A_subpinnata","spring",6.4,-21.9
"122","A_subpinnata","spring",6.1,-21.7
"123","A_subpinnata","spring",6.2,-21.4
"124","A_subpinnata","spring",6.3,-21.9
"125","A_subpinnata","spring",6,-22
"126","A_subpinnata","spring",5.8,-22
"127","A_subpinnata","spring",6,-22
"128","A_subpinnata","spring",6.3,-22.2
"129","A_subpinnata","spring",6.2,-21.8
"130","A_subpinnata","spring",5.9,-22.1
"131","A_subpinnata","spring",6.1,-21.8
"132","A_subpinnata","spring",6.1,-22
"133","E_cavolini","autumn",5.5,-15
"134","E_cavolini","autumn",5.6,-14.7
"135","E_cavolini","autumn",5.8,-15.1
"136","E_cavolini","autumn",5.7,-15.8
"137","E_cavolini","autumn",5.6,-15.2
"138","E_cavolini","autumn",5.6,-17.5
"139","E_cavolini","autumn",5.6,-17.2
"140","E_cavolini","spring",5.8,-17.8
"141","E_cavolini","spring",6.2,-12.9
"142","E_cavolini","spring",6,-13.8
"143","E_cavolini","spring",5.9,-13.8
"144","E_cavolini","spring",5.8,-12.7
"145","E_cavolini","spring",6,-14.2
"146","E_cavolini","spring",6,-14.3
"147","E_cavolini","spring",5.6,-14.9
