Reference,Date_Station_Type,Date,Station,Other,Type,Category,Season,d15N,d13C,Weight,mgN,mgC,RunNo
1,01/08/2016_Station_1_filter_1,1/8/2016,Station 1,filter 1,pico-nanoplankton,pico-nanoplankton,autumn,3.4,-23.5,10.1,0.006,0.04,170912DF
3,01/08/2016_Station_2_filter_1,1/8/2016,Station 2,filter 1,pico-nanoplankton,pico-nanoplankton,autumn,3.1,-23.8,10.1,0.006,0.042,170912DF
5,01/08/2016_Station_3_filter_1,1/8/2016,Station 3,filter 1,pico-nanoplankton,pico-nanoplankton,autumn,2.8,-23.9,9.6,0.005,0.037,170912DF
7,23/08/2016_Station_1_filter_1,23/08/2016,Station 1,filter 1,pico-nanoplankton,pico-nanoplankton,autumn,3.4,-23.2,10.8,0.006,0.044,170912DF
9,23/08/2016_Station_2_filter_1,23/08/2016,Station 2,filter 1,pico-nanoplankton,pico-nanoplankton,autumn,5.5,-23.9,10.6,0.009,0.054,170912DF
11,23/08/2016_Station_3_filter_1,23/08/2016,Station 3,filter 1,pico-nanoplankton,pico-nanoplankton,autumn,5.6,-23.5,11.2,0.008,0.047,170912DF
13,09/09/2016_Station_1_filter_1,9/9/2016,Station 1,filter 1,pico-nanoplankton,pico-nanoplankton,autumn,1.9,-23.8,10.3,0.005,0.042,170912DF
15,09/09/2016_Station_2_filter_1,9/9/2016,Station 2,filter 1,pico-nanoplankton,pico-nanoplankton,autumn,4.4,-23.9,12.4,0.008,0.056,170912DF
17,09/09/2016_Station_3_filter_1,9/9/2016,Station 3,filter 1,pico-nanoplankton,pico-nanoplankton,autumn,2.8,-23.4,10.4,0.005,0.035,170912DF
19,4/10/2016_Station_1_filter_1,4/10/2016,Station 1,filter 1,pico-nanoplankton,pico-nanoplankton,autumn,1.4,-23.3,11,0.005,0.032,170912DF
21,4/10/2016_Station_2_filter_1,4/10/2016,Station 2,filter 1,pico-nanoplankton,pico-nanoplankton,autumn,,-23.4,10.4,0.005,0.029,170912DF
23,4/10/2016_Station_3_filter_1,4/10/2016,Station 3,filter 1,pico-nanoplankton,pico-nanoplankton,autumn,1.6,-23.6,8.8,0.006,0.037,170912DF
25,30/11/2016_Station_1_filter_1,30/11/2016,Station 1,filter 1,pico-nanoplankton,pico-nanoplankton,autumn,1.8,-22.5,9.9,0.006,0.037,170912DG
27,30/11/2016_Station_2_filter_1,30/11/2016,Station 2,filter 1,pico-nanoplankton,pico-nanoplankton,autumn,2.8,-22.4,9.8,0.006,0.036,170912DG
29,30/11/2016_Station_3_filter_1,30/11/2016,Station 3,filter 1,pico-nanoplankton,pico-nanoplankton,autumn,,-22.7,9,0.01,0.058,170912DG
31,15/02/2017_Station_1_filter_1,15/02/2017,Station 1,filter 1,pico-nanoplankton,pico-nanoplankton,spring,,-23.8,10.1,0.006,0.041,170912DG
33,15/02/2017_Station_2_filter_1,15/02/2017,Station 2,filter 1,pico-nanoplankton,pico-nanoplankton,spring,1.7,-24,10.7,0.007,0.05,170912DG
35,15/02/2017_Station_3_filter_1,15/02/2017,Station 3,filter 1,pico-nanoplankton,pico-nanoplankton,spring,,-24,12,0.007,0.053,170912DG
37,10/03/2017_Station_1_filter_1,10/3/2017,Station 1,filter 1,pico-nanoplankton,pico-nanoplankton,spring,4,-22.8,12,0.009,0.066,170912DG
39,10/03/2017_Station_2_filter_1,10/3/2017,Station 2,filter 1,pico-nanoplankton,pico-nanoplankton,spring,7.6,-23.2,10.7,0.007,0.051,170912DG
41,10/03/2017_Station_3_filter_1,10/3/2017,Station 3,filter 1,pico-nanoplankton,pico-nanoplankton,spring,6.4,-23.5,9.2,0.005,0.039,170912DG
43,12/04/2017_Station_1_filter_1,12/4/2017,Station 1,filter 1,pico-nanoplankton,pico-nanoplankton,spring,4.4,-23.7,11,0.007,0.049,170912DG
45,12/04/2017_Station_2_filter_1,12/4/2017,Station 2,filter 1,pico-nanoplankton,pico-nanoplankton,spring,5,-23.3,8,0.006,0.041,170912DG
47,12/04/2017_Station_3_filter_1,12/4/2017,Station 3,filter 1,pico-nanoplankton,pico-nanoplankton,spring,4.9,-24.4,10.1,0.008,0.057,170912DG
49,10/05/2017_Station_1_filter_1,10/5/2017,Station 1,filter 1,pico-nanoplankton,pico-nanoplankton,spring,7.5,-24.3,10.4,0.005,0.046,170912DG
51,10/05/2017_Station_2_filter_1,10/5/2017,Station 2,filter 1,pico-nanoplankton,pico-nanoplankton,spring,7.7,-24.4,12.9,0.004,0.033,170912DG
53,10/05/2017_Station_3_filter_1,10/5/2017,Station 3,filter 1,pico-nanoplankton,pico-nanoplankton,spring,8.2,-24.7,12.5,0.005,0.043,170912DG
2,01/08/2016_Station_1_microplancton,1/8/2016,Station 1,microplancton,microplankton,microplankton,autumn,7.2,-24,7.8,0.006,0.054,170912DF
4,01/08/2016_Station_2_microplancton,1/8/2016,Station 2,microplancton,microplankton,microplankton,autumn,6.2,-24.1,8.7,0.01,0.087,170912DF
6,01/08/2016_Station_3_microplancton,1/8/2016,Station 3,microplancton,microplankton,microplankton,autumn,7,-23.9,8.7,0.008,0.064,170912DF
8,23/08/2016_Station_1_microplancton,23/08/2016,Station 1,microplancton,microplankton,microplankton,autumn,7.4,-24,7.9,0.006,0.047,170912DF
10,23/08/2016_Station_2_microplancton,23/08/2016,Station 2,microplancton,microplankton,microplankton,autumn,8.6,-25,9.3,0.003,0.03,170912DF
12,23/08/2016_Station_3_microplancton,23/08/2016,Station 3,microplancton,microplankton,microplankton,autumn,8.8,-23.9,8,0.008,0.055,170912DF
14,09/09/2016_Station_1_microplancton,9/9/2016,Station 1,microplancton,microplankton,microplankton,autumn,7.1,-24.5,11.4,0.009,0.121,170912DF
16,09/09/2016_Station_2_microplancton,9/9/2016,Station 2,microplancton,microplankton,microplankton,autumn,6.4,-23.8,10.6,0.01,0.089,170912DF
18,09/09/2016_Station_3_microplancton,9/9/2016,Station 3,microplancton,microplankton,microplankton,autumn,6.9,-24.3,10.1,0.01,0.1,170912DF
20,4/10/2016_Station_1_microplancton,4/10/2016,Station 1,microplancton,microplankton,microplankton,autumn,4.1,-24.7,9.1,0.005,0.049,170912DF
22,4/10/2016_Station_2_microplancton,4/10/2016,Station 2,microplancton,microplankton,microplankton,autumn,,-23.9,10.1,0.004,0.036,170912DF
24,4/10/2016_Station_3_microplancton,4/10/2016,Station 3,microplancton,microplankton,microplankton,autumn,2.6,-24.8,9.2,0.004,0.038,170912DF
26,30/11/2016_Station_1_microplancton,30/11/2016,Station 1,microplancton,microplankton,microplankton,autumn,5.1,-23.3,8.7,0.007,0.074,170912DG
28,30/11/2016_Station_2_microplancton,30/11/2016,Station 2,microplancton,microplankton,microplankton,autumn,5.4,-23.5,10.7,0.01,0.092,170912DG
30,30/11/2016_Station_3_microplancton,30/11/2016,Station 3,microplancton,microplankton,microplankton,autumn,5.5,-23.9,12.8,0.009,0.073,170912DG
32,15/02/2017_Station_1_microplancton,15/02/2017,Station 1,microplancton,microplankton,microplankton,spring,6.5,-24.1,10.6,0.009,0.118,170912DG
34,15/02/2017_Station_2_microplancton,15/02/2017,Station 2,microplancton,microplankton,microplankton,spring,6.7,-24.2,9.5,0.007,0.063,170912DG
36,15/02/2017_Station_3_microplancton,15/02/2017,Station 3,microplancton,microplankton,microplankton,spring,5.8,-24.6,9.7,0.006,0.071,170912DG
38,10/03/2017_Station_1_microplancton,10/3/2017,Station 1,microplancton,microplankton,microplankton,spring,5,-22.1,11.3,0.018,0.104,170912DG
40,10/03/2017_Station_2_microplancton,10/3/2017,Station 2,microplancton,microplankton,microplankton,spring,6.9,-23.7,10.6,0.015,0.106,170912DG
42,10/03/2017_Station_3_microplancton,10/3/2017,Station 3,microplancton,microplankton,microplankton,spring,8.2,-24.2,9.7,0.003,0.032,170912DG
44,12/04/2017_Station_1_microplancton,12/4/2017,Station 1,microplancton,microplankton,microplankton,spring,12.7,-24.3,9,0.005,0.042,170912DG
46,12/04/2017_Station_2_microplancton,12/4/2017,Station 2,microplancton,microplankton,microplankton,spring,9.8,-24.1,11.6,0.005,0.046,170912DG
48,12/04/2017_Station_3_microplancton,12/4/2017,Station 3,microplancton,microplankton,microplankton,spring,8.5,-24.5,11,0.008,0.084,170912DG
50,10/05/2017_Station_1_microplancton,10/5/2017,Station 1,microplancton,microplankton,microplankton,spring,9,-24.7,11.7,0.005,0.057,170912DG
52,10/05/2017_Station_2_microplancton,10/5/2017,Station 2,microplancton,microplankton,microplankton,spring,9.3,-24.9,11.3,0.003,0.041,170912DG
54,10/05/2017_Station_3_microplancton,10/5/2017,Station 3,microplancton,microplankton,microplankton,spring,12.7,-25.6,13.3,0.003,0.034,170912DG
55,01/08/2016_station_1_65-50m,1/8/2016,station 1,65-50m,mesozooplankton,mesoplankton,autumn,3.5,-21.9,1.3,0.059,0.244,170912DA
56,01/08/2016_station_2_65-50m,1/8/2016,station 2,65-50m,mesozooplankton,mesoplankton,autumn,3.5,-22.1,1.3,0.097,0.378,170912DA
57,01/08/2016_station_3_65-50m,1/8/2016,station 3,65-50m,mesozooplankton,mesoplankton,autumn,3.4,-21.4,1.4,0.078,0.303,170912DA
58,01/08/2016_station_1_vertical,1/8/2016,station 1,vertical,mesozooplankton,mesoplankton,autumn,3.8,-20.9,1.3,0.071,0.287,170912DA
59,01/08/2016_station_2_vertical,1/8/2016,station 2,vertical,mesozooplankton,mesoplankton,autumn,3,-20.8,1.3,0.06,0.235,170912DA
59,01/08/2016_station_2_vertical,1/8/2016,station 2,vertical,mesozooplankton,mesoplankton,autumn,3.1,-21,1.4,0.059,0.229,170912DA
60,01/08/2016_station_3_vertical,1/8/2016,station 3,vertical,mesozooplankton,mesoplankton,autumn,3.3,-22.2,1.3,0.093,0.372,170912DA
61,09/09/2016_station_1_65-50m,9/9/2016,station 1,65-50m,mesozooplankton,mesoplankton,autumn,3.4,-22.8,1.3,0.098,0.411,170912DA
61,09/09/2016_station_1_65-50m,9/9/2016,station 1,65-50m,mesozooplankton,mesoplankton,autumn,3.2,-22.9,1.3,0.101,0.43,170912DA
62,09/09/2016_station_2_65-50m,9/9/2016,station 2,65-50m,mesozooplankton,mesoplankton,autumn,4.1,-22.2,1.3,0.091,0.385,170912DA
63,09/09/2016_station_3_65-50m,9/9/2016,station 3,65-50m,mesozooplankton,mesoplankton,autumn,2.9,-22.3,1.3,0.111,0.467,170912DA
64,09/09/2016_station_1_vertical,9/9/2016,station 1,vertical,mesozooplankton,mesoplankton,autumn,3,-21.8,1.3,0.11,0.448,170912DA
65,09/09/2016_station_2_vertical,9/9/2016,station 2,vertical,mesozooplankton,mesoplankton,autumn,3.2,-22.1,1.4,0.112,0.456,170912DA
66,09/09/2016_station_3_vertical,9/9/2016,station 3,vertical,mesozooplankton,mesoplankton,autumn,2.7,-22,1.4,0.12,0.493,170912DA
66,09/09/2016_station_3_vertical,9/9/2016,station 3,vertical,mesozooplankton,mesoplankton,autumn,2.7,-22.2,1.3,0.115,0.475,170912DA
67,04/10/2016_station_1_65-50m,4/10/2016,station 1,65-50m,mesozooplankton,mesoplankton,autumn,3.8,-21.8,1.3,0.117,0.462,170912DA
